username,promedio_sentiment,nombre_tw,location,description,followers_count,geo_location,PARTIDO_COALICION,ENTIDAD,NOMBRE_CANDIDATO,EDAD
liliaaguilarmx,-1.0,Lilia Aguilar Gil,México,"Diputada Federal Electa por el Distrito 03 en Ciudad Juárez 👩🏻‍💼Soy una mujer de opinión, progresista impasible e hiperactiva #GraciasPorVotarPT",2815,True ,JUNTOS HACEMOS HISTORIA,CHIHUAHUA,LILIA AGUILAR GIL,43
mao_2108,1.0,Miguel Angel Orduño,Los Mochis Sinaloa,"Collect as much happiness as possible and don't waste it, because in the days of sadness you'll need it...",128,True ,REDES SOCIALES PROGRESISTAS,SINALOA,MIGUEL ANGEL ORDUÑO TORRES,51
mmiguelcarrillo,1.0,Mario Miguel Carrillo,,"Triatleta de afición, tenista de corazón, fanático del cine y lector ocasional. La Política mi pasión | PhD en Desarrollo, Medio Ambiente y Territorio",1185,True ,JUNTOS HACEMOS HISTORIA,PUEBLA,MARIO MIGUEL CARRILLO CUBILLAS,39
mnelav,1.0,Marianela Villanueva,"San Luis Potosí, S.L.P.","Psicóloga, Dra en Educación 👩🏻‍🏫 Mujer y madre ❤ #SLP Correr 🏃🏻‍♀️ y leer 📚 mis grandes gustos",10463,True ,VA POR MEXICO,SAN LUIS POTOSÍ,MARIANELA VILLANUEVA PONCE,49
molanomx,1.0,Carlos Molano,"Tuxtla Gutiérrez, Chiapas",Presidente Municipal de Tuxtla Gutiérrez. 2018,1723,True ,VA POR MEXICO,CHIAPAS,CARLOS MOLANO ROBLES,51
pimaxxi,1.0,Horacio Echavarría González,Chihuahua,,132,True ,FUERZA POR MÉXICO,NACIONAL,HORACIO ECHAVARRIA GONZALEZ,58
sapcdpue,1.0,Sria. Discapacidad,,Secretaria de Atención a Personas con Discapacidad PRI Puebla,1005,True ,PARTIDO REVOLUCIONARIO INSTITUCIONAL,NACIONAL,MARTHA CORONA ESPINOSA,62
scheimanflores,1.0,Javier Scheiman,"Cancún, Quintana Roo",RRII en la Anáhuac , Mis causas en @MovCiudadanoMX , Mis letras en Altavoz MX y Acontecer QR ,MOVIMIENTO CIUDADANO,NACIONAL,JAVIER SCHEIMAN FLORES,21
stuardollamas,0.5,Stuardo Llamas,"Querétaro, Querétaro Arteaga",#GallosBlancos #Raiders Capitán del Black Side,4802,True ,FUERZA POR MÉXICO,QUERÉTARO,RAMON STUARDO LLAMAS SERVIN,46
yola_guerrerob,1.0,Yolanda Guerrero,"Zamora, Michoacán de Ocampo","Candidata a Diputada Federal. Michoacana, madre y luchadora social, transformando a México.",371,False ,MORENA,MICHOACÁN,YOLANDA GUERRERO BARRERA,57
